Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,10:00:00,14.25
1,06/02/2023,11:00:00,14.22
3,06/02/2023,10:00:00,000.0
3,06/02/2023,11:00:00,000.0
4,06/02/2023,10:00:00,25.26
4,06/02/2023,11:00:00,26.85
5,06/02/2023,10:00:00,112
5,06/02/2023,11:00:00,112
6,06/02/2023,10:00:00,005.66
6,06/02/2023,11:00:00,005.65
7,06/02/2023,10:00:00,188
7,06/02/2023,11:00:00,188
8,06/02/2023,10:00:00,965.29
8,06/02/2023,11:00:00,963.26
9,06/02/2023,10:00:00,036
9,06/02/2023,11:00:00,028
10,06/02/2023,10:00:00,158.950
10,06/02/2023,11:00:00,189.948
50,06/02/2023,10:00:00,000.0
50,06/02/2023,11:00:00,000.0
