Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,23:00:00,12.80
1,06/02/2023,00:00:00,12.80
3,05/02/2023,23:00:00,000.0
3,06/02/2023,00:00:00,000.0
4,05/02/2023,23:00:00,18.05
4,06/02/2023,00:00:00,17.10
5,05/02/2023,23:00:00,113
5,06/02/2023,00:00:00,113
6,05/02/2023,23:00:00,005.09
6,06/02/2023,00:00:00,005.09
7,05/02/2023,23:00:00,169
7,06/02/2023,00:00:00,169
8,05/02/2023,23:00:00,867.07
8,06/02/2023,00:00:00,867.07
9,05/02/2023,23:00:00,060
9,06/02/2023,00:00:00,068
10,05/02/2023,23:00:00,000.000
10,06/02/2023,00:00:00,000.000
50,05/02/2023,23:00:00,000.0
50,06/02/2023,00:00:00,000.0
