Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,14:00:00,13.74
1,06/02/2023,15:00:00,13.24
1,06/02/2023,16:00:00,13.21
1,06/02/2023,17:00:00,13.19
2,06/02/2023,14:00:00,332.515
2,06/02/2023,15:00:00,332.509
2,06/02/2023,16:00:00,332.513
2,06/02/2023,17:00:00,332.511
3,06/02/2023,14:00:00,000.0
3,06/02/2023,15:00:00,000.0
3,06/02/2023,16:00:00,000.0
3,06/02/2023,17:00:00,000.0
5,06/02/2023,14:00:00,149
5,06/02/2023,15:00:00,149
5,06/02/2023,16:00:00,149
5,06/02/2023,17:00:00,148
50,06/02/2023,14:00:00,000.0
50,06/02/2023,15:00:00,000.0
50,06/02/2023,16:00:00,000.0
50,06/02/2023,17:00:00,000.0
