Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,04:00:00,12.88
1,06/02/2023,05:00:00,12.86
1,06/02/2023,06:00:00,12.85
1,06/02/2023,07:00:00,12.86
1,06/02/2023,08:00:00,12.99
1,06/02/2023,09:00:00,13.04
2,06/02/2023,04:00:00,332.539
2,06/02/2023,05:00:00,332.541
2,06/02/2023,06:00:00,332.547
2,06/02/2023,07:00:00,332.551
2,06/02/2023,08:00:00,332.545
2,06/02/2023,09:00:00,332.539
3,06/02/2023,04:00:00,000.0
3,06/02/2023,05:00:00,000.0
3,06/02/2023,06:00:00,000.0
3,06/02/2023,07:00:00,000.0
3,06/02/2023,08:00:00,000.0
3,06/02/2023,09:00:00,000.0
5,06/02/2023,04:00:00,151
5,06/02/2023,05:00:00,151
5,06/02/2023,06:00:00,150
5,06/02/2023,07:00:00,150
5,06/02/2023,08:00:00,150
5,06/02/2023,09:00:00,150
50,06/02/2023,04:00:00,000.0
50,06/02/2023,05:00:00,000.0
50,06/02/2023,06:00:00,000.0
50,06/02/2023,07:00:00,000.0
50,06/02/2023,08:00:00,000.0
50,06/02/2023,09:00:00,000.0
