Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,03:00:00,12.33
2,06/02/2023,03:00:00,232.580
3,06/02/2023,03:00:00,000.0
4,06/02/2023,03:00:00,16.8
5,06/02/2023,03:00:00,110.0
6,06/02/2023,03:00:00,002.8
7,06/02/2023,03:00:00,015
8,06/02/2023,03:00:00,983.5
9,06/02/2023,03:00:00,077
10,06/02/2023,03:00:00,000.00
11,06/02/2023,03:00:00,00.00
12,06/02/2023,03:00:00,-0.00
13,06/02/2023,03:00:00,00.00
14,06/02/2023,03:00:00,00.00
15,06/02/2023,03:00:00,00.03
16,06/02/2023,03:00:00,00.00
17,06/02/2023,03:00:00,00.00
18,06/02/2023,03:00:00,00.00
50,06/02/2023,03:00:00,000.0
