Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,04:00:00,12.70
1,06/02/2023,05:00:00,12.69
3,06/02/2023,04:00:00,000.0
3,06/02/2023,05:00:00,000.0
4,06/02/2023,04:00:00,12.40
4,06/02/2023,05:00:00,11.42
6,06/02/2023,04:00:00,007.61
6,06/02/2023,05:00:00,007.60
7,06/02/2023,04:00:00,190
7,06/02/2023,05:00:00,190
8,06/02/2023,04:00:00,928.24
8,06/02/2023,05:00:00,927.51
9,06/02/2023,04:00:00,072
9,06/02/2023,05:00:00,074
10,06/02/2023,04:00:00,0000.0
10,06/02/2023,05:00:00,0000.0
50,06/02/2023,04:00:00,000.0
50,06/02/2023,05:00:00,000.0
