Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,23:00:00,12.90
1,06/02/2023,00:00:00,12.89
1,06/02/2023,01:00:00,12.87
1,06/02/2023,02:00:00,12.85
1,06/02/2023,03:00:00,12.83
1,06/02/2023,04:00:00,12.81
1,06/02/2023,05:00:00,12.79
1,06/02/2023,06:00:00,12.76
2,05/02/2023,23:00:00,613.047
2,06/02/2023,00:00:00,613.044
2,06/02/2023,01:00:00,613.045
2,06/02/2023,02:00:00,613.036
2,06/02/2023,03:00:00,613.045
2,06/02/2023,04:00:00,613.038
2,06/02/2023,05:00:00,613.040
2,06/02/2023,06:00:00,613.034
