Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,13:00:00,13.44
1,06/02/2023,14:00:00,13.01
1,06/02/2023,15:00:00,13.34
1,06/02/2023,16:00:00,13.34
1,06/02/2023,17:00:00,13.00
1,06/02/2023,18:00:00,13.00
3,06/02/2023,13:00:00,000.0
3,06/02/2023,14:00:00,000.0
3,06/02/2023,15:00:00,000.0
3,06/02/2023,16:00:00,000.0
3,06/02/2023,17:00:00,000.0
3,06/02/2023,18:00:00,000.0
50,06/02/2023,13:00:00,000.0
50,06/02/2023,14:00:00,000.0
50,06/02/2023,15:00:00,000.0
50,06/02/2023,16:00:00,000.0
50,06/02/2023,17:00:00,000.0
50,06/02/2023,18:00:00,000.0
