Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,05:00:00,12.73
1,06/02/2023,06:00:00,12.70
1,06/02/2023,07:00:00,12.73
3,06/02/2023,05:00:00,000.0
3,06/02/2023,06:00:00,000.0
3,06/02/2023,07:00:00,000.0
4,06/02/2023,05:00:00,14.54
4,06/02/2023,06:00:00,13.72
4,06/02/2023,07:00:00,13.06
5,06/02/2023,05:00:00,112
5,06/02/2023,06:00:00,112
5,06/02/2023,07:00:00,112
6,06/02/2023,05:00:00,005.06
6,06/02/2023,06:00:00,005.05
6,06/02/2023,07:00:00,005.06
7,06/02/2023,05:00:00,168
7,06/02/2023,06:00:00,168
7,06/02/2023,07:00:00,168
8,06/02/2023,05:00:00,862.33
8,06/02/2023,06:00:00,860.30
8,06/02/2023,07:00:00,862.33
9,06/02/2023,05:00:00,071
9,06/02/2023,06:00:00,072
9,06/02/2023,07:00:00,077
10,06/02/2023,05:00:00,000.000
10,06/02/2023,06:00:00,000.000
10,06/02/2023,07:00:00,000.000
50,06/02/2023,05:00:00,000.0
50,06/02/2023,06:00:00,000.0
50,06/02/2023,07:00:00,000.0
