Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,10:00:00,14.24
1,05/02/2023,11:00:00,14.22
3,05/02/2023,10:00:00,000.0
3,05/02/2023,11:00:00,000.0
4,05/02/2023,10:00:00,25.39
4,05/02/2023,11:00:00,27.93
5,05/02/2023,10:00:00,115
5,05/02/2023,11:00:00,115
6,05/02/2023,10:00:00,005.66
6,05/02/2023,11:00:00,005.65
7,05/02/2023,10:00:00,188
7,05/02/2023,11:00:00,188
8,05/02/2023,10:00:00,964.62
8,05/02/2023,11:00:00,963.26
9,05/02/2023,10:00:00,031
9,05/02/2023,11:00:00,025
10,05/02/2023,10:00:00,165.484
10,05/02/2023,11:00:00,204.644
50,05/02/2023,10:00:00,000.0
50,05/02/2023,11:00:00,000.0
