Sensor ID,Sample Date,Sample Time,Sample Value
1,05/02/2023,10:00:00,013.770
1,05/02/2023,11:00:00,013.620
3,05/02/2023,10:00:00,000.0
3,05/02/2023,11:00:00,000.0
4,05/02/2023,10:00:00,25.190
4,05/02/2023,11:00:00,27.450
6,05/02/2023,10:00:00,005.37
6,05/02/2023,11:00:00,005.31
7,05/02/2023,10:00:00,234
7,05/02/2023,11:00:00,232
8,05/02/2023,10:00:00,997.22
8,05/02/2023,11:00:00,986.36
9,05/02/2023,10:00:00,060
9,05/02/2023,11:00:00,053
10,05/02/2023,10:00:00,303.611
10,05/02/2023,11:00:00,372.922
50,05/02/2023,10:00:00,000.0
50,05/02/2023,11:00:00,000.0
