name,prefix,address,longitude,latitude,city
Gej_Gouripur,cgsw0063a,"Tehsil- Premnagar, District -Surguja",82.6989198,22.9633327,Premnagar
Pendrawan,cgsw0092,"Vill- Baronda, Tehsil- Tilda",81.6336833,21.2379469,Raipur
Sikasar,cgsw0073b,"Vill- Dumarbahara, Tehsil- Gariyaband",81.6336833,21.2379469,Raipur
Sanna,cgsw0027,Raipur,81.6336833,21.2379469,Raipur
TIRATHGARH,cgsw0117,"Raipur, Chattisgarh",81.6336833,21.2379469,Raipur
Lohandiguda,cgsw0101,"Bastar, Lohandiguda, Badedhara",81.75167,19.17111,Raipur
Garhfuljhar,cgsw0035,"Mahasamund, Basna, Chorbhatti",82.484847625,21.1882332,Mahasamund
Madder,73e12842,Tehsil- Bhopalpattanam ,80.5391666666667,18.7741666666667,Raigarh
Makadi,cgsw0102,"Tehsil- makdi , Vill- Mankadi, ",81.9030555555556,19.77111,Raigarh
MANPUR,cgsw0108,Raipur,81.6336833,21.2379469,Raipur
Bijapur_cg,cgsw0115,"Vill- Ketulnar, Tehsil- Bhairamgarh",81.6336833,21.2379469,Raipur
Tongpal,cgsw0118,"Vill- Permaras Tehsil- Chhindgarh
",81.6336833,21.2379469,Raipur
Kinkari Nalla,cgsw0091,"Vill- sakartunga , Tehsil- Baramkela",83.5,22.5,Raigarh
Mogra Bar,cgsw0082,"Vill- Durre Tola, Tehsil- Ambagarh Chowki",80.6915554826358,20.9727404,Rajnandgaon
Barnai,cgsw0145, Raigad,73.1380709542654,18.4928092,Raigad
Mudhi,cgsw0122,"Mudhi, Tehsil- Bagicha, Dist- Jashpur",81.2761792,21.1862105,Chhattisgarh
Chanderi,cgsw0046,"Khairagarh, Keshla, Rajnandgaon",80.6915554826358,20.9727404,Rajnandgaon
Sukha Nalla Barr,cgsw0096,"Vill- Ganeri Tehsil- Dongargaon
",80.6915554826358,20.9727404,Rajnandgaon
Dornapal,cgsw0116,District - Raipur Tehsil - Baloda Bazar,81.6336833,21.2379469,Raipur
Gondli,cgsw0064,Tehsil- Balod,81.3979545573657,21.19903535,Durg
Kedma,cgsw0130,"Vill- Keshma Tehsil- Udaipur, District- Surguja",83,23.25,Surguja
Arpa_Kota,cgsw0050,Tehsil- Kota Vill- Sildaha,82.1099649873738,21.98934025,Bilaspur
Kanhar_Ramanujgang,cgsw0141,"Vill- Chutia
Tehsil-Dudhwal",83.5,22.5,Raigarh
kodar,cgsw0075,"Vill- Perapali, Tehsil- Mahasamund",82.484847625,21.1882332,Mahasamund
Ramchandrapur,cgsw0132,"Ramchandrapur, Ramanujganj, Surguja",83,23.25,Surguja
Bhiramgarh,cgsw0114,Tehsil- Bhairamgarh,81.05583,19.00417,Raigarh
Shardapur,cgsw0123,"Shardapur, Wadrafnagar, Surguja",83,23.25,Surguja
KERPAWAND,cgsw0111,Raipur,81.6336833,21.2379469,Raipur
DURGUKONDAL,cgsw0107,Raipur,81.6336833,21.2379469,Raipur
Mainpur,cgsw0038,".tehsil- Mainpur, Village - Salhebhat",81.6336833,21.2379469,Raipur
Devpahri,73e0bfda,"Vill- Lemroo, Tehsil- Korba",82.7110855,22.3547468,Korba
Arpa_Bhainsajhar,cgsw0150,Tehsil - kota,82.081829,22.300521,Raigarh
Sutiyapat,cgsw0081,Vill- Bhainsbod Tehsil- Bodla,81.2515798875195,22.11428865,Kabirdham
Banas Bharatpur,cgsw0139,Raigarh,83.5,22.5,Raigarh
Maniyari Takhatpur,cgsw0060,"Bilaspur, Takhatpur
",81.6336833,21.2379469,Bilaspur
