Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,09:00:00,14.240
1,06/02/2023,10:00:00,13.880
1,06/02/2023,11:00:00,13.750
1,06/02/2023,12:00:00,13.210
1,06/02/2023,13:00:00,13.190
1,06/02/2023,14:00:00,13.170
1,06/02/2023,15:00:00,13.170
3,06/02/2023,09:00:00,000.000
3,06/02/2023,10:00:00,000.000
3,06/02/2023,11:00:00,000.000
3,06/02/2023,12:00:00,000.000
3,06/02/2023,13:00:00,000.000
3,06/02/2023,14:00:00,000.000
3,06/02/2023,15:00:00,000.000
50,06/02/2023,09:00:00,000.000
50,06/02/2023,10:00:00,000.000
50,06/02/2023,11:00:00,000.000
50,06/02/2023,12:00:00,000.000
50,06/02/2023,13:00:00,000.000
50,06/02/2023,14:00:00,000.000
50,06/02/2023,15:00:00,000.000
