Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,01:00:00,12.78
1,06/02/2023,02:00:00,12.78
3,06/02/2023,01:00:00,000.0
3,06/02/2023,02:00:00,000.0
4,06/02/2023,01:00:00,16.18
4,06/02/2023,02:00:00,15.94
5,06/02/2023,01:00:00,113
5,06/02/2023,02:00:00,113
6,06/02/2023,01:00:00,005.08
6,06/02/2023,02:00:00,005.08
7,06/02/2023,01:00:00,169
7,06/02/2023,02:00:00,169
8,06/02/2023,01:00:00,865.72
8,06/02/2023,02:00:00,865.72
9,06/02/2023,01:00:00,070
9,06/02/2023,02:00:00,068
10,06/02/2023,01:00:00,000.000
10,06/02/2023,02:00:00,000.000
50,06/02/2023,01:00:00,000.0
50,06/02/2023,02:00:00,000.0
