Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,08:00:00,13.57
1,06/02/2023,09:00:00,14.26
3,06/02/2023,08:00:00,000.0
3,06/02/2023,09:00:00,000.0
4,06/02/2023,08:00:00,18.01
4,06/02/2023,09:00:00,20.70
5,06/02/2023,08:00:00,112
5,06/02/2023,09:00:00,112
6,06/02/2023,08:00:00,005.39
6,06/02/2023,09:00:00,005.67
7,06/02/2023,08:00:00,179
7,06/02/2023,09:00:00,188
8,06/02/2023,08:00:00,919.23
8,06/02/2023,09:00:00,965.97
9,06/02/2023,08:00:00,057
9,06/02/2023,09:00:00,048
10,06/02/2023,08:00:00,052.140
10,06/02/2023,09:00:00,103.411
50,06/02/2023,08:00:00,000.0
50,06/02/2023,09:00:00,000.0
