Sensor ID,Sample Date,Sample Time,Sample Value
1,06/02/2023,10:00:00,13.61
1,06/02/2023,11:00:00,13.76
3,06/02/2023,10:00:00,000.0
3,06/02/2023,11:00:00,000.0
4,06/02/2023,10:00:00,22.420
4,06/02/2023,11:00:00,25.560
6,06/02/2023,10:00:00,005.036
6,06/02/2023,11:00:00,005.091
7,06/02/2023,10:00:00,180
7,06/02/2023,11:00:00,181
8,06/02/2023,10:00:00,1020.750
8,06/02/2023,11:00:00,1032.000
9,06/02/2023,10:00:00,039
9,06/02/2023,11:00:00,027
10,06/02/2023,10:00:00,359.854
10,06/02/2023,11:00:00,413.435
50,06/02/2023,10:00:00,000.0
50,06/02/2023,11:00:00,000.0
